name,lga,facility_type
Victor Attah Int'l Airport Clinic,Uruan,secondary
General Hospital Ikot Ekpene,Ikot Ekpene,secondary
General Hospital Iquita (Oron),Oron,secondary
Immanuel General Hospital Eket,Eket,secondary
General Hospital Ikot Abasi,Ikot Abasi,secondary
General Hospital Etinan,Etinan,secondary
General Hospital Ikono,Ikono,secondary
"General Hospital Ikpe Ikot Nkon, Ini",Ini,secondary
General Hospital Ukpom Abak,Abak,secondary
General Hospital Amammong Okobo,Okobo,secondary
General Hospital Ikpe Annang,Essien Udim,secondary
General Hospital Mbioto II,Etinan,secondary
General Hospital Ikot Okoro,Oruk Anam,secondary
General Hospital Uruk Ata Ikot Ekpor (Etim Ekpo),Etim Ekpo,secondary
Methodist General Hospital Ituk Mbang,Uruan,secondary
General Hospital Urue Offong Oruko,Urue Offong Oruko,secondary
Mount Carmel Hospital Akpa Utong,Ibesikpo Asutan,secondary
QIC Leprosy Hospital Ekpene Obom,Etinan,secondary
Mary Slessor General Hospital Itu,Itu,secondary
Cottage Hospital Asong,Mkpat Enin,secondary
Cottage Hospital Ikot Abia,Mkpat Enin,secondary
Cottage Hospital Ikot Ekpaw,Mkpat Enin,secondary
Cottage Hospital Ikot Eko Ibon,Onna,secondary
Cottage Hospital Akai Ubium,Nsit Ubium,secondary
Cottage Hospital Ikot Ekpene Udo,Nsit Ubium,secondary
Cottage Hospital Ekpene Obo,Esit Eket,secondary
Psychiatric Hospital Eket,Eket,secondary
Infectious Disease Hospital Ikot Ekpene,Ikot Ekpene,secondary
Cottage Hospital Ukana,Essien Udim,secondary
Cottage Hospital Ibeno,Ibeno,secondary
Redeemer Cottage Hospital Ibesit,Oruk Anam,secondary
Cottage Hospital Ika,Ika,secondary
Cottage Hospital Eastern Obolo/General Hospital Okoroette,Eastern Obolo,secondary
Comprehensive Health Centre Okon Eket,Eket,secondary
Comprehensive Health Centre Awa,Onna,secondary
Comprehensive Health Centre Ikot Edibon,Nsit Ubium,secondary
Comprehensive Health Centre Ikot Nkpene,Nsit Atai,secondary
Comprehensive Health Centre Mbiaya Uruan,Uruan,secondary
Comprehensive Health Centre Nto Edino,Obot Akara,secondary
Comprehensive Health Centre Essene,Ikot Abasi,secondary
Government Dental Centre Ikot Ekpene,Ikot Ekpene,secondary
Government Dental Centre Eket,Eket,secondary
Ukanafun General Hospital,Ukanafun,secondary
Ibanang Ediene Health Centre,Abak,primary
Itung Health Centre,Abak,primary
Operational Base Abak Primary Health Centre,Abak,primary
Utu Ikot Ebak Health Post,Abak,primary
Ikot Akpan Ikpong Health Centre,Abak,primary
Afaha Obong Health Centre,Abak,primary
Midim Health Centre,Abak,primary
Ikot Edong Health Post,Abak,primary
Abiakpo Health Centre,Abak,primary
Ikot Ossom Health Post,Abak,primary
Ibong Otoro Health Centre,Abak,primary
Okoroette Primary Health Centre,Eastern Obolo,primary
Okorombokho Health Post,Eastern Obolo,primary
Amadaka Primary Health Centre,Eastern Obolo,primary
Elekpon Health Post,Eastern Obolo,primary
Ikonta Obianga Primary Health Centre,Eastern Obolo,primary
Emereoko Health Centre,Eastern Obolo,primary
Amauka Primary Health Centre,Eastern Obolo,primary
Okoroinyong Primary Health Centre,Eastern Obolo,primary
Iko Primary Health Centre,Eastern Obolo,primary
Atabrikang Health Post,Eastern Obolo,primary
Afaha Atai Health Post,Eket,primary
Idung Iniang Health Centre,Eket,primary
Ikot Usoekong Health Post,Eket,primary
Effoi Health Centre,Eket,primary
Odio Health Centre,Eket,primary
Ikot Okudomo Health Centre,Eket,primary
Idua Health Post,Eket,primary
Ikot Ebok Poly Operational Base Clinic,Eket,primary
Mkpok Model Health Centre,Eket,primary
Nduo Eduo Health Post,Eket,primary
Ikot Abasi Okon Comprehensive Health Centre,Eket,primary
Ikot Ukpong Health Post,Eket,primary
Iko Efak Health Post,Esit Eket,primary
Ebe Ekpi Health Post,Esit Eket,primary
Ebighi Okpono Health Post,Esit Eket,primary
Edor Health Centre,Esit Eket,primary
Ekpene Obo Health Post,Esit Eket,primary
Etebi Health Centre,Esit Eket,primary
Etebi Idung Assan Health Centre,Esit Eket,primary
Ikpa Health Centre,Esit Eket,primary
Afaha Ekpenedi Health Post,Esit Eket,primary
Base Uquo Primary Health Centre,Esit Eket,primary
Adiasim Health Centre,Essien Udim,primary
Afaha Ikot Ebak Primary Health Centre,Essien Udim,primary
Midim Atan Health Centre,Essien Udim,primary
Ekpenyong Atai Health Centre,Essien Udim,primary
Ikpe Annang Health Centre,Essien Udim,primary
Odoro Ikot 1 Health Centre,Essien Udim,primary
Odoro Ikot 2 Health Centre,Essien Udim,primary
Okon Ikot Ocho Health Centre,Essien Udim,primary
Ukana East Primary Health Centre,Essien Udim,primary
Ikot Otu Ukana West Health Centre,Essien Udim,primary
Ukana Ikot Ideh Health Centre,Essien Udim,primary
Ikot Obioma Health Centre,Etim Ekpo,primary
Ikpe Annang Primary Health Centre (Model),Etim Ekpo,primary
Ikot Ebo Health Centre,Etim Ekpo,primary
Atan Eka Uruk Eshiet Health Centre,Etim Ekpo,primary
Obong Ntak Health Centre,Etim Ekpo,primary
Ikot Udobong Health Centre,Etim Ekpo,primary
Iwukem Primary Health Centre,Etim Ekpo,primary
Etinan Primary Health Centre,Etinan,primary
Ekpene Ukpa Health Centre,Etinan,primary
Ikot Udo Oto Primary Health Centre,Etinan,primary
Edem Ekpat Primary Health Centre,Etinan,primary
Ikot Udobia Primary Health Centre,Etinan,primary
Ikot Obio Inyang Health Centre,Etinan,primary
Ikot Ekan Health Post,Etinan,primary
Nkana Health Centre,Etinan,primary
Ikot Esen Oku Health Centre,Etinan,primary
Akpasak Efa Health Post,Etinan,primary
Iwo Etor Health Centre,Etinan,primary
Upenekan Operational Base Primary Health Centre,Ibeno,primary
Itak Abasi Health Centre,Ibeno,primary
Opolom Health Centre,Ibeno,primary
Mkpanak Health Centre,Ibeno,primary
Iwuokpom Opolom Health Post,Ibeno,primary
Ndito Eka Iba Health Centre,Ibeno,primary
Inua Iyiet Ikot Health Post,Ibeno,primary
Okoroutip Health Centre,Ibeno,primary
Iwuochang Health Post,Ibeno,primary
Atabrikan Health Post,Ibeno,primary
Atia Health Centre,Ibeno,primary
Okop Ndua Erong Health Centre,Ibesikpo Asutan,primary
Ikot Obio Edim Health Centre,Ibesikpo Asutan,primary
Ikot Akpaedung Health Post,Ibesikpo Asutan,primary
Ikot Atang Esen Health Post,Ibesikpo Asutan,primary
Ikot Nkwo Health Post,Ibesikpo Asutan,primary
Afaha Atai Health Centre,Ibesikpo Asutan,primary
Nung Udoe Operational Base Primary Health Centre,Ibesikpo Asutan,primary
Nung Udoe Model Health Centre,Ibesikpo Asutan,primary
Afaha Udoeyop Health Centre,Ibesikpo Asutan,primary
Ikot Edung Health Centre,Ibiono-Ibom,primary
Ikpa Operational Base Primary Health Centre,Ibiono-Ibom,primary
Okopedi Use Health Centre,Ibiono-Ibom,primary
Ididep Model Health Centre,Ibiono-Ibom,primary
Ikot Esen Model Health Centre,Ibiono-Ibom,primary
Idoro Comprehensive Health Centre,Ibiono-Ibom,primary
Ikot Adaidem Primary Health Centre,Ibiono-Ibom,primary
Ikot Idaha Health Centre,Ibiono-Ibom,primary
Nsan Health Centre,Ibiono-Ibom,primary
Ibiaku Health Centre,Ibiono-Ibom,primary
Ikpanya Health Centre,Ibiono-Ibom,primary
Achan Ika Health Centre,Ika,primary
Ikot Okoro Ata Leprosy Clinic,Ika,primary
Ikot Inyang Ese Health Post,Ika,primary
Urua Inyang Operational Base Primary Health Centre,Ika,primary
Efen Ikot Udonya Health Post,Ika,primary
Itak Nto Urua Health Post,Ika,primary
Ikot Akpan Anwa Health Centre,Ika,primary
Ikot Udom Health Centre,Ika,primary
Nto Uso Health Centre,Ika,primary
Nto Etukudo Health Centre,Ika,primary
Ediene I Health Centre,Ikono,primary
Etip Ediene Health Centre,Ikono,primary
Nung Ukim Health Centre,Ikono,primary
