page,sn,section,description,pack_size,Qty,expiry_1,expiry_2,confidence,All corrected,
1,1,tablets,Acetylsalicylic Acid 75mg,100,724,2028-12,,high,All corrected,
1,2,tablets,Aceclofenac 100mg,10,661,2027-11,,high,All corrected,
1,3,tablets,Acetazolamide,,,,,high,All corrected,
1,4,tablets,Albendazole 200mg,2,2652,2028-06,2030-04,check,All corrected,
1,5,tablets,Albendazole 400mg,1,3994,2029-03,,high,All corrected,
1,6,tablets,Amlodipine 5mg,28,1440,2028-06,,high,All corrected,
1,7,tablets,Amlodipine 10mg,28,3979,2029-04,,check,All corrected,
1,8,tablets,Amlodipine + losartan (5mg + 50mg),,,,,high,All corrected,
1,9,tablets,Amiloride + Hydrochlorothiazide (2.5mg + 25mg),,,,,high,All corrected,
1,10,tablets,Amoxicillin 250mg + clavulanic acid 125mg,14,552,2029-02,2027-06,check,All corrected,
1,11,tablets,Ampicillin 500mg,100,250,2028-03,,high,All corrected,
1,12,tablets,Amoxicillin 500mg,100,391,2028-02,,high,All corrected,
1,13,tablets,Amoxicillin 250mg,100,718,2028-02,,high,All corrected,
1,14,tablets,Amoxicillin 250mg (Dispersible),10,606,2028-04,,high,All corrected,
1,15,tablets,Amoxicillin 500mg + clavulanic acid 125mg,14,2180,2028-03,,high,All corrected,
1,16,tablets,Ampicillin 250mg + cloxacillin 250mg,100,1065,2027-08,,high,All corrected,
1,17,tablets,Artane 5mg (Benzhexol),,,,,high,All corrected,
1,18,tablets,Amitriptyline 25mg,500,46,2028-03,,high,All corrected,
1,19,tablets,Ascorbic acid 100mg,1000,1484,2029-05,,high,All corrected,
1,20,tablets,Azithromycin 500mg,10,2404,2028-09,2028-10,check,All corrected,
1,21,tablets,Amiodarone 200mg,,,,,high,All corrected,
1,22,tablets,Atorvastatin 10mg,30,52,2028-11,,high,All corrected,
1,23,tablets,Atorvastatin 20mg,,,,,high,All corrected,
1,24,tablets,Bromazepam 3mg,30,795,2030-08,,high,All corrected,
1,25,tablets,Betahistine 6mg,,,,,high,All corrected,
1,26,tablets,Biopentin Plain 300mg,,,,,high,All corrected,
1,27,tablets,Biopentin NT 400mg,,,,,high,All corrected,
1,28,tablets,Bisoprolol 2.5mg,28,149,2030-09,,high,All corrected,
1,,tablets,Ampicillin 250mg (tab),100,150,2028-02,,check,All corrected, unnumbered
2,29,tablets,Bisoprolol 1.5mg,,,,,high,All corrected,
2,30,tablets,Calcium D3,,,,,high,All corrected,
2,31,tablets,Candesartan 8mg,,,,,high,All corrected,
2,32,tablets,Cephalexin 500mg,,,,,high,All corrected,
2,33,tablets,Carvedilol 6.25mg,,,,,high,All corrected,
2,34,tablets,Cilostazol 10mg,,,,,high,All corrected,
2,35,tablets,Clonazepam 1mg,,,,,high,All corrected,
2,36,tablets,Co Approvet 150mg,,,,,high,All corrected,
2,37,tablets,Cytotec,,,,,,All corrected,
2,38,tablets,Calcium lactate 300mg,1000,368,2029-04,,check,All corrected,
2,39,tablets,Cap Astyfer,30,1124,2028-02,,high,All corrected,
2,40,tablets,Cap Astymin,20,420,2027-09,,high,All corrected,
2,41,tablets,Carbamazepine 200mg,100,24,2028-03,,high,All corrected,
2,42,tablets,Cefixime 400mg,10,319,2027-08,,high,All corrected,
2,43,tablets,Cefuroxime 500mg,10,130,2029-03,,high,All corrected,
2,44,tablets,Celecoxib 200mg,10,870,2029-03,,check,All corrected,
2,45,tablets,Chlorpromazine 100mg,1000,20,2029-05,,check,All corrected,
2,46,tablets,Chlorpheniramine maleate 4mg,100,1062,2027-08,2028-01,high,All corrected,
2,47,tablets,Chymotrypsin 100000IU + Trypsin 1400IU,30,547,2028-08,,high,All corrected,
2,48,tablets,Clopidogrel 75mg,30,790,2028-12,,high,All corrected,
2,49,tablets,Ciprofloxacin 500mg,10,11707,2029-02,,high,All corrected,
2,50,tablets,Cognitol,30,419,2028-07,,high,All corrected,
2,51,tablets,Cotrimoxazole 480mg,1000,243,2029-02,,high,All corrected,
2,52,tablets,Cefixime 200mg,10,200,2028-09,,high,All corrected,
2,53,tablets,Clarithromycin 500mg,10,130,2028-08,,high,All corrected,
2,54,tablets,Chondroitin + Glucosamine,30,875,2028-06,,check,All corrected,
2,55,tablets,Cefuroxime 250mg,10,466,2028-05,,check,All corrected,
2,56,tablets,Cefadox 200mg,10,150,2028-04,,high,All corrected,
2,57,tablets,Cocodamol 8/500mg,100,273,2029-10,,high,All corrected,
2,58,tablets,Daravit woman,30,17,2028-05,,high,All corrected,
2,59,tablets,Daravit forte,60,3,2028-08,,high,All corrected,
2,60,tablets,Daravit Joint active,30,30,2027-09,,check,All corrected,
2,61,tablets,Daravit promo,,,,,high,All corrected,
2,62,tablets,Diethylcarbamazine 50mg (Cenocide),100,15,2029-11,,high,All corrected,
3,63,tablets,Diamicron 60mg,,,,,high,All corrected,
3,64,tablets,Doxazocin 4mg,,,,,high,All corrected,
3,65,tablets,Diazepam 5mg,1000,323,2028-04,,high,All corrected,
3,66,tablets,Diclofenac 75mg + misoprostol 200mcg,100,422,2027-01,,high,All corrected,
3,67,tablets,Diclofenac potassium 50mg,100,1861,2029-08,2028-08,check,All corrected,
3,68,tablets,Diclofenac potassium 100mg,20,727,2028-08,,check,All corrected,
3,69,tablets,Digoxin 25mg,50,188,2029-01,,high,All corrected,
3,70,tablets,DF118 30mg,,,,,high,All corrected,
3,71,tablets,Doxycycline 100mg,100,966,2029-02,,high,All corrected,
3,72,tablets,Dexamethasone 1mg,100,178,2028-05,,high,All corrected,
3,73,tablets,Dolometa B,100,555,2028-07,,high,All corrected,
3,74,tablets,Ecoslim 100mg,,,,,high,All corrected,
3,75,tablets,Empiget 10mg,,,,,high,All corrected,
3,76,tablets,Eliquis 5mg,,,,,high,All corrected,
3,77,tablets,Empiget 25mg,,,,,high,All corrected,
3,78,tablets,Esofag Kit,,,,,high,All corrected,
3,79,tablets,Exforge 10/160/12.5mg,,,,,high,All corrected,
3,80,tablets,Erythromycin stearate 500mg,100,2138,2028-08,,check,All corrected,
3,81,tablets,Erythromycin stearate 250mg,100,119,2028-10,,check,All corrected,
3,82,tablets,Enzoron,30,466,2028-11,,high,All corrected,
3,83,tablets,Evening Primrose,30,200,2028-02,,high,All corrected,
3,84,tablets,Fluoxetine 20mg,,,,,high,All corrected,
3,85,tablets,Ferobin Plus,30,282,2028-04,,high,All corrected,
3,86,tablets,Ferrous sulphate 200mg,1000,1586,2030-01,,high,All corrected,
3,87,tablets,Finasteride 5mg,28,490,2028-09,,high,All corrected,
3,88,tablets,Fluconazole 200mg,100,91,2028-02,,high,All corrected,
3,89,tablets,Fluconazole 150mg,10,640,2027-03,,high,All corrected,
3,90,tablets,Folic acid 5mg,1000,21510,2027-04,2029-05,check,All corrected,
3,91,tablets,Frusemide 40mg,30,190,2028-07,,high,All corrected,
3,92,tablets,Glasodex 50mg,,,,,high,All corrected,
3,93,tablets,Glibenclamide 5mg,100,914,2028-02,2028-04,check,All corrected,
3,94,tablets,Glimepiride 4mg,30,157,2028-01,,check,All corrected,
3,95,tablets,Haloperidol 5mg,1000,14,2027-01,,check,All corrected,
3,96,tablets,Haloperidol 10mg,1000,42,2029-02,2028-02,check,All corrected,
3,97,tablets,Hemoforce Forte,30,978,2028-12,,high,All corrected,
4,98,tablets,Hydrochlorothiazide 25mg,,1279,2029-03,,high,All corrected,
4,99,tablets,Hyoscine-N-Butyl Bromide,100,453,2028-03,,high,All corrected,
4,100,tablets,Ibuprofen 200mg,100,6418,2029-01,,high,All corrected,
4,101,tablets,Ibuprofen 400mg,20,2057,2028-12,,high,All corrected,
4,102,tablets,Indapamide 1.5mg,,,,,high,All corrected,
4,103,tablets,Ivermectin 3mg,500,50,2028-07,,high,All corrected,
4,104,tablets,Jawaron,,,,,high,All corrected,
4,105,tablets,Kotase,,854,2028-03,,high,All corrected,
4,106,tablets,Ketoconazole 200mg,10,200,2027-10,,high,All corrected,
4,107,tablets,Levofloxacin 750mg,10,,,,high,All corrected,
4,108,tablets,Levetiracetam 500mg,,,,,high,All corrected,
4,109,tablets,Linagliptin 5mg,,,,,high,All corrected,
4,110,tablets,Livolyn Forte,,,,,high,All corrected,
4,111,tablets,Lisinopril 10mg,28,9804,2029-05,,check,All corrected,
4,112,tablets,Lisinopril 5mg,20,1609,2029-02,,check,All corrected,
4,113,tablets,Loperamide 2mg,100,688,2028-01,,high,All corrected,
4,114,tablets,Loratadine 10mg,100,850,2028-05,,high,All corrected,
4,115,tablets,Levofloxacin 500mg,10,7077,2028-12,,high,All corrected,
4,116,tablets,Losartan sodium 50mg,28,585,2028-12,,high,All corrected,
4,117,tablets,Losartan sodium 100mg,,,,,high,All corrected,
4,118,tablets,Losartan sodium + hydrochlorothiazide (50mg + 12.5mg),,,,,high,All corrected,
4,119,tablets,Metoprolol 50mg,,,,,high,All corrected,
4,120,tablets,Montelukast 10mg,,,,,high,All corrected,
4,121,tablets,Meconerv forte,,,,,high,All corrected,
4,122,tablets,Magnavite,,,,,high,All corrected,
4,123,tablets,Metformin 500mg,84,1144,2030-05,2029-01,check,All corrected,
4,124,tablets,Methocarbamol 500mg,100,1090,2028-04,,check,All corrected,
4,125,tablets,Methyldopa 250mg,100,259,2028-05,,high,All corrected,
4,126,tablets,Metoclopramide 10mg,100,57,2029-11,,high,All corrected,
4,127,tablets,Metronidazole 200mg,100,1060,2028-06,,high,All corrected,
4,128,tablets,Metronidazole 200mg by 1000,1000,871,2030-03,2029-10,check,All corrected,
4,129,tablets,Metronidazole 400mg,100,464,2028-06,,high,All corrected,
4,130,tablets,Mebendazole 100mg,6,1459,2029-01,,check,All corrected,
4,131,tablets,Misoprostol 200mcg,4,451,2028-05,,high,All corrected,
5,132,tablets,Magnesium trisilicate (MMT),1000,318,2029-02,2029-03,check,All corrected,
5,133,tablets,Multivite,1000,1333,2028-05,,high,All corrected,
5,134,tablets,Moduretic,100,793,2028-02,,high,All corrected,
5,135,tablets,Mic Attix,30,895,2028-06,,high,All corrected,
5,136,tablets,Natrixam 1.5mg/10mg,,,,,high,All corrected,
5,137,tablets,Neurocalm 75mg,,,,,high,All corrected,
5,138,tablets,Neurozam,,,,,high,All corrected,
5,139,tablets,Nifecard 30mg,,,,,high,All corrected,
5,140,tablets,Nimodipine 30mg,,,,,high,All corrected,
5,141,tablets,Nitrofurantoin 100mg,100,119,2028-08,,high,All corrected,
5,142,tablets,Nifedipine 20mg,150,737,2028-04,,check,All corrected,
5,143,tablets,Neurovite forte,,,,,high,All corrected,
5,144,tablets,Ofloxacin 400mg,60,288,2027-06,,high,All corrected,
5,145,tablets,Omeprazole 20mg,14,1505,2027-11,,high,All corrected,
5,146,tablets,Olanzapine 5mg,,,,,high,All corrected,
5,147,tablets,Olanzapine 10mg,,,,,high,All corrected,
5,148,tablets,Paracetamol 500mg,1000,2582,2029-02,2029-05,check,All corrected,
5,149,tablets,Pardopa 275mg,,,,,high,All corrected,
5,150,tablets,Propranolol 40mg,,,,,high,All corrected,
5,151,tablets,Phenytoin 10mg,,,,,high,All corrected,
5,152,tablets,Phenobarbitone 30mg,,,,,high,All corrected,
5,153,tablets,Pregabalin 75mg,15,154,2028-10,,check,All corrected,
5,154,tablets,Prednisolone 5mg,100,442,2029-03,,high,All corrected,
5,155,tablets,Pyrantel Pamoate 15mg,6,260,2029-09,,high,All corrected,
5,156,tablets,Piroxicam 20mg,100,147,2028-07,,high,All corrected,
5,157,tablets,Ramipril 10mg,,,,,high,All corrected,
5,158,tablets,Rosuvastatin 10mg,,,,,high,All corrected,
5,159,tablets,Rosuvastatin 20mg,,,,,high,All corrected,
5,160,tablets,Sulphadoxine 500mg + Pyrimethamine 25mg,,,,,high,All corrected,
5,161,tablets,Sirdalud 4mg,30,187,2029-01,,high,All corrected,
5,162,tablets,Salbutamol 4mg,1000,231,2027-06,,high,All corrected,
5,163,tablets,Spironolactone 25mg,28,82,2028-08,,high,All corrected,
5,164,tablets,Stugeron 25mg (Cinnarizine),50,200,2029-02,,check,All corrected,
5,165,tablets,Sertraline 50mg,,,,,high,All corrected,
5,166,tablets,Slow K 600mg,,,,,high,All corrected,
6,167,tablets,Solifenacin 10mg,,,,,high,All corrected,
6,168,tablets,Spirocard 25mg,,,,,high,All corrected,
6,169,tablets,Strimox 0.5mg,,,,,,All corrected,
6,170,tablets,Tamsulosin 0.4mg,30,270,2028-12,,check,All corrected,
6,171,tablets,Telmisartan 80mg,30,245,2028-11,,high,All corrected,
6,172,tablets,Telmisartan 40mg,30,266,2028-10,,high,All corrected,
6,173,tablets,Tetracycline 250mg,100,229,2028-10,,high,All corrected,
6,174,tablets,Tinidazole 20mg,,,,,high,All corrected,
6,175,tablets,Tadalis 20mg,,,,,high,All corrected,
6,176,tablets,Tadalis 5mg,100,,,,high,All corrected,
6,177,tablets,Trifluoperazine 5mg (Stelazine),20,41,2027-05,,check,All corrected,
6,178,tablets,Tranexamic Acid,30,72,2028-12,,check,All corrected,
6,179,tablets,Tamsulosin + Dutasteride,30,135,2028-10,,check,All corrected,
6,180,tablets,Torsemide 10mg,30,105,2028-12,,check,All corrected,
6,181,tablets,Torsemide 20mg,30,89,2028-07,,check,All corrected,
6,182,tablets,Vilget 50/1000mg,,,,,check,All corrected,
6,183,tablets,Vitamin C 500mg,,,,,high,All corrected,
6,184,tablets,Vitamin B-complex,1000,1456,2028-06,,high,All corrected,
6,185,tablets,Vitamin A 100000IU,30,381,2028-10,,high,All corrected,
6,186,tablets,Vitamin E 1000IU,100,181,2028-10,,high,All corrected,
6,187,tablets,Vitamin K,,,,,high,All corrected,
6,188,tablets,Well rose,,,,,high,All corrected,
