page,sn,section,description,pack_size,icc,physical_stock,quantity,on_hand,expiry_1,expiry_2,confidence,note
1,1,tablets,Acetylsalicylic Acid 75mg,100,724,724,,724,2028-12,,high,
1,2,tablets,Aceclofenac 100mg,10,,660,661,661,2027-11,,high,quantity 661 supersedes physical 660
1,3,tablets,Acetazolamide,,,,,,,,high,no stock recorded
1,4,tablets,Albendazole 200mg,2,,2852,,2852,2028-06,2030-04,check,two expiry dates on one quantity
1,5,tablets,Albendazole 400mg,1,,3994,,3994,2029-03,,high,
1,6,tablets,Amlodipine 5mg,28,,1440,,1440,2028-06,,high,
1,7,tablets,Amlodipine 10mg,28,,3979,,3979,2029-04,,check,expiry overwritten on paper
1,8,tablets,Amlodipine + losartan (5mg + 50mg),,,,,,,,high,no stock recorded
1,9,tablets,Amiloride + Hydrochlorothiazide (2.5mg + 25mg),,,,,,,,high,no stock recorded
1,10,tablets,Amoxicillin 250mg + clavulanic acid 125mg,14,,552,,552,2029-02,2027-06,check,two expiry dates on one quantity
1,11,tablets,Ampicillin 500mg,100,,250,,250,2028-03,,high,
1,12,tablets,Amoxicillin 500mg,100,,391,,391,2028-02,,high,
1,13,tablets,Amoxicillin 250mg,100,,718,,718,2028-02,,high,
1,14,tablets,Amoxicillin 250mg (Dispersible),10,,606,,606,2028-04,,high,
1,15,tablets,Amoxicillin 500mg + clavulanic acid 125mg,14,,2180,,2180,2028-03,,high,
1,16,tablets,Ampicillin 250mg + cloxacillin 250mg,100,,1065,,1065,2027-08,,high,
1,17,tablets,Artane 5mg (Benzhexol),,,,,,,,high,no stock recorded
1,18,tablets,Amitriptyline 25mg,500,,46,,46,2028-03,,high,
1,19,tablets,Ascorbic acid 100mg,1000,625,1484,,1484,2029-05,,high,
1,20,tablets,Azithromycin 500mg,10,,240,,240,2028-09,2028-10,check,figure struck through and rewritten; two expiries
1,21,tablets,Amiodarone 200mg,,,,,,,,high,no stock recorded
1,22,tablets,Atorvastatin 10mg,30,,52,,52,2028-04,,high,
1,23,tablets,Atorvastatin 20mg,,,,,,,,high,no stock recorded
1,24,tablets,Bromazepam 3mg,30,,795,,795,2030-08,,high,
1,25,tablets,Betahistine 6mg,,,,,,,,high,no stock recorded
1,26,tablets,Biopentin Plain 300mg,,,,,,,,high,no stock recorded
1,27,tablets,Biopentin NT 400mg,,,,,,,,high,no stock recorded
1,28,tablets,Bisoprolol 2.5mg,28,,149,,149,2030-09,,high,
1,,tablets,Ampicillin 250mg (tab),100,,150,,150,2028-02,,check,written in the page footer - unnumbered
2,29,tablets,Bisoprolol 1.5mg,,,,,,,,high,no stock recorded
2,30,tablets,Calcium D3,,,,,,,,high,no stock recorded
2,31,tablets,Candesartan 8mg,,,,,,,,high,no stock recorded
2,32,tablets,Cephalexin 500mg,,,,,,,,high,no stock recorded
2,33,tablets,Carvedilol 6.25mg,,,,,,,,high,no stock recorded
2,34,tablets,Cilostazol 10mg,,,,,,,,high,no stock recorded
2,35,tablets,Clonazepam 1mg,,,,,,,,high,no stock recorded
2,36,tablets,Co Approvet 150mg,,,,,,,,high,no stock recorded
2,37,tablets,Cytotec,,,368,,368,2029-04,,check,figure faint; could be 363 or 368
2,38,tablets,Calcium lactate 300mg,1000,,1124,,1124,2028-02,,high,
2,39,tablets,Cap Astyfer,30,,420,,420,2027-09,,high,
2,40,tablets,Cap Astymin,20,,24,,24,2028-02,,high,
2,41,tablets,Carbamazepine 200mg,100,,319,,319,2027-08,,high,
2,42,tablets,Cefixime 400mg,10,,130,,130,2029-03,,high,
2,43,tablets,Cefuroxime 500mg,10,,810,,810,2029-05,,check,figure struck through and rewritten
2,44,tablets,Celecoxib 200mg,10,,20,,20,2027-08,2028-01,check,two expiry dates on one quantity
2,45,tablets,Chlorpromazine 100mg,1000,1062,1062,,1062,2028-08,,high,
2,46,tablets,Chlorpheniramine maleate 4mg,100,,547,,547,2028-10,,high,
2,47,tablets,Chymotrypsin 100000IU + Trypsin 1400IU,30,,790,,790,2029-02,,high,
2,48,tablets,Clopidogrel 75mg,30,,11707,,11707,2028-07,,high,
2,49,tablets,Ciprofloxacin 500mg,10,,419,,419,2029-02,,high,
2,50,tablets,Cognitol,30,,243,,243,2028-09,,high,
2,51,tablets,Cotrimoxazole 480mg,1000,,200,,200,2028-08,,high,
2,52,tablets,Cefixime 200mg,10,,130,,130,2028-06,,high,
2,53,tablets,Clarithromycin 500mg,10,,875,,875,2026-05,,check,expiry reads 5/26 - already past
2,54,tablets,Chondroitin + Glucosamine,30,,466,,466,2026-04,,check,expiry reads 4/26 - already past
2,55,tablets,Cefuroxime 250mg,10,,150,,150,2029-10,,high,
2,56,tablets,Cefadox 200mg,10,,273,,273,2028-05,,high,
2,57,tablets,Cocodamol 8/500mg,100,,17,,17,2028-08,,high,
2,58,tablets,Daravit woman,30,,3,,3,2027-09,,high,
2,59,tablets,Daravit forte,60,,30,,30,,,check,expiry cell empty
2,60,tablets,Daravit Joint active,30,,,,,,,high,no stock recorded
2,61,tablets,Daravit promo,,,,15,15,2029-11,,high,quantity column only
2,62,tablets,Diethylcarbamazine 50mg (Cenocide),100,,,,,,,high,no stock recorded
3,63,tablets,Diamicron 60mg,,,,,,,,high,no stock recorded
3,64,tablets,Doxazocin 4mg,,,323,,323,2028-04,,high,
3,65,tablets,Diazepam 5mg,1000,,422,,422,2027-01,,high,
3,66,tablets,Diclofenac 75mg + misoprostol 200mcg,100,,1861,,1861,2029-08,2028-08,check,two expiry dates on one quantity
3,67,tablets,Diclofenac potassium 50mg,100,,727,,727,2028-08,,check,figure struck through and rewritten
3,68,tablets,Diclofenac potassium 100mg,20,,188,,188,2029-01,,high,
3,69,tablets,Digoxin 25mg,50,,,,,,,high,no stock recorded
3,70,tablets,DF118 30mg,,,966,,966,2029-02,,high,
3,71,tablets,Doxycycline 100mg,100,,179,,179,2028-05,,high,
3,72,tablets,Dexamethasone 1mg,100,,555,,555,2028-07,,high,
3,73,tablets,Dolometa B,100,,,,,,,high,no stock recorded
3,74,tablets,Ecoslim 100mg,,,,,,,,high,no stock recorded
3,75,tablets,Empiget 10mg,,,,,,,,high,no stock recorded
